date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:39:14	50795/50795	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:15%20GMT	https://cwiki.apache.org/confluence/display/Hive/PoweredBy	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/PoweredBy.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:15	53935/53935	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:15%20GMT	https://cwiki.apache.org/confluence/display/Hive/User+FAQ	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/User+FAQ.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:15	140084/140084	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:16%20GMT	https://cwiki.apache.org/confluence/display/Hive/Tutorial	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Tutorial.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:16	56514/56514	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:16%20GMT	https://cwiki.apache.org/confluence/display/Hive/LanguageManual	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LanguageManual.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:16	53163/53163	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:17%20GMT	https://cwiki.apache.org/confluence/display/Hive/LanguageManual+Commands	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LanguageManual+Commands.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:17	69349/69349	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:17%20GMT	https://cwiki.apache.org/confluence/display/Hive/LanguageManual+Cli	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LanguageManual+Cli.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:17	100445/100445	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:18%20GMT	https://cwiki.apache.org/confluence/display/Hive/LanguageManual+Types	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LanguageManual+Types.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:18	281285/281285	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:18%20GMT	https://cwiki.apache.org/confluence/display/Hive/LanguageManual+DDL	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LanguageManual+DDL.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:18	80198/80198	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:19%20GMT	https://cwiki.apache.org/confluence/display/Hive/StatsDev	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/StatsDev.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:19	55789/55789	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:19%20GMT	https://cwiki.apache.org/confluence/display/Hive/LanguageManual+Indexing	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LanguageManual+Indexing.html	(from https://cwiki.apache.org/confluence/display/Hive)
